coaster_name,Length,Speed,Status,Manufacturer,Model,Height,Lift/launch system,G-force,Designer,Track layout,Type_Main,opening_date_clean,speed_mph,height_ft,Inversions_clean
Racer (Kennywood),"4,500 ft (1,400 m)",40 mph (64 km/h),Operating,Charlie Mach,Racing,72.5 ft (22.1 m),lift,,John A. Miller,Möbius Loop,Wood,1927-01-01,40.0,,0
Wildcat (Lake Compounce),"2,746 ft (837 m)",48 mph (77 km/h),Operating,Philadelphia Toboggan Coasters,,85 ft (26 m),lift,,Herbert Paul Schmeck and Dinn Corporation,,Wood,1927-01-01,48.0,,0
Montaña Suiza,"1,312.3 ft (400.0 m)",31 mph (50 km/h),Operating,,,32 ft (9.8 m),lift,,Erich Heidrich,Terrain,Other,1928-01-01,31.0,,0
Dragon Coaster (Playland),"1,036 m (3,399 ft)",,Operating,,,24 m (79 ft),lift,,Frederick Church,Out & back,Wood,1929-01-01,,78.7,0
Yankee Cannonball,"609.6 m (2,000 ft)",56.3 km/h (35.0 mph),Operating,Philadelphia Toboggan Coasters,,19.8 m (65 ft),lift,,Herbert Paul Schmeck,,Wood,1930-01-01,35.0,65.0,0
Roller Coaster (Great Yarmouth Pleasure Beach),"3,223.10 ft (982.40 m)",45 mph (72 km/h),Operating,,,70 ft (21 m),lift,,Erich Heidrich,Triple out and back,Wood,1932-05-01,45.0,,0
Rollo Coaster,900 ft (270 m),25 mph (40 km/h),Operating,Philadelphia Toboggan Coasters,,27 ft (8.2 m),lift,,Herbert Paul Schmeck,Out and Back,Wood,1938-01-01,25.0,,0
Cyclone (Lakeside Amusement Park),"2,800 ft (850 m)",55 mph (89 km/h),Operating,,,80 ft (24 m),lift,,Edward A. Vettel,Terrain,Wood,1940-05-17,55.0,,0
Comet (Hersheypark),"3,360 ft (1,020 m)",50 mph (80 km/h),Operating,Philadelphia Toboggan Coasters,,84 ft (26 m),lift,,Herbert Paul Schmeck,Modified Double Out and Back,Wood,1946-01-01,50.0,,0
Little Dipper (Conneaut Lake Park),,,Operating,Allan Herschell Company,Little Dipper,,lift,,,Oval,Steel,1950-01-01,,,0
Vuoristorata,"960 m (3,150 ft)",60 km/h (37 mph),Operating,"Linnanmäki, led by Svend Jarlström",,24 m (79 ft),lift,,Valdemar Lebech[3],,Wood,1951-07-13,37.3,78.7,0
Little Dipper (Memphis Kiddie Park),,,Operating,Allan Herschell Company,Little Dipper,,lift,,The Allan Herschell Company,,Steel,1952-04-01,,,0
Sea Dragon (roller coaster),"1,320 ft (400 m)",25 mph (40 km/h),Operating,Philadelphia Toboggan Coasters,,37 ft (11 m),lift,,John C. Allen,Figure Eight,Wood,1956-01-01,25.0,,0
Matterhorn Bobsleds,"2,037 ft (620.9 m)",27 mph (43.5 km/h),Operating,Arrow Development,Special Coaster Systems,80 ft (24.4 m),lift,,WED Enterprises,Dual-tracked,Steel,1959-06-14,27.0,,0
Blue Streak (Cedar Point),"2,558 ft (780 m)",40 mph (64 km/h),Operating,Philadelphia Toboggan Coasters,,78 ft (24 m),lift,,Frank F. HooverJohn C. Allen,Out and Back,Wood,1964-05-23,40.0,,0
Swamp Fox (roller coaster),"2,400 ft (730 m)",50 mph (80 km/h),Operating,Philadelphia Toboggan Coasters,,75 ft (23 m),lift,,John Allen,Double Out and Back,Wood,1966-01-01,50.0,,0
Cannon Ball (roller coaster),"2,272 ft (693 m)",50 mph (80 km/h),Operating,Philadelphia Toboggan Coasters,,70 ft (21 m),lift,,John C. Allen,Out and back,Wood,1967-01-01,50.0,,0
Dahlonega Mine Train,"2,327 ft (709 m)",29 mph (47 km/h),Operating,Arrow Dynamics,Mine Train,37 ft (11 m),lift,,,Terrain,Steel,1967-06-16,29.0,,0
Thunderbolt (Kennywood),"3,250 ft (990 m)",55 mph (89 km/h),Operating,,,70 ft (21 m),lift,,Andy Vettel (1968)John A. Miller (1924),Terrain,Wood,1968-01-01,55.0,,0
Cedar Creek Mine Ride,"2,540 ft (770 m)",42 mph (68 km/h),Operating,Arrow Development,Mine Train,48 ft (15 m),lift,,Ron Toomer,,Steel,1969-05-24,42.0,,0
Gold Rusher,"2,590 ft (790 m)",35 mph (56 km/h),Operating,Arrow Development,Mine Train,70 ft (21 m),lift,3.4,Ron Toomer,Terrain,Steel,1971-05-29,35.0,,0
Scooby-Doo (Kings Island),"1,350 ft (410 m)",35 mph (56 km/h),Operating,Philadelphia Toboggan Coasters,,38.6 ft (11.8 m),lift,,John C. Allen,Figure Eight,Wood,1972-01-01,35.0,,0
Carolina Goldrusher,"2,397 ft (731 m)",30 mph (48 km/h),Operating,Arrow Dynamics,Mine Train,43 ft (13 m),lift,2.4,Ron Toomer,,Steel,1973-03-31,30.0,,0
Great American Scream Machine (Six Flags Over Georgia),"3,800 ft (1,200 m)",57 mph (92 km/h),Operating,Philadelphia Toboggan Coasters,,105 ft (32 m),lift,3.7,"Don Rosser, John C. Allen, William Cobb",Out-and-back,Wood,1973-03-31,57.0,,0
Trailblazer (roller coaster),"1,600 ft (490 m)",35 mph (56 km/h),Operating,Arrow Development,Mine train,43 ft (13 m),lift,,,,Steel,1974-05-14,35.0,,0
Scooby-Doo (Carowinds),"1,356 ft (413 m)",36 mph (58 km/h),Operating,Philadelphia Toboggan Coasters,144a,40 ft (12 m),lift,,John C. Allen,,Wood,1975-01-01,36.0,,0
High Roller (Valleyfair),"2,982 ft (909 m)",50 mph (80 km/h),Operating,Rauenhorst Corporation,wood out-and-back,70 ft (21 m),lift,3.2,National Amusement Devices,Out and Back,Wood,1976-01-01,50.0,,0
The New Revolution (roller coaster),"3,457 ft (1,054 m)",55 mph (89 km/h),Operating,Anton Schwarzkopf,Looping roller coaster,113 ft (34 m),lift,4.9,Werner Stengel,Terrain,Steel,1976-05-08,55.0,,1
SooperDooperLooper,"2,614 ft (797 m)",45 mph (72 km/h),Operating,Anton Schwarzkopf,Looping Speedracer,75 ft (23 m),lift,,Werner Stengel,,Steel,1977-07-04,45.0,,1
Space Mountain (Disneyland),"3,459 ft (1,054 m)",35[2] mph (56 km/h),Operating,Arrow Development (1977–2003)Dynamic Structures (2005–present)]],,76 ft (23 m),lift,,WED Enterprises,,Steel,1977-05-27,35.0,,0
Arkansas Twister,"3,340 ft (1,020 m)",50 mph (80 km/h),Operating,Michael Black and Associates,,95 ft (29 m),lift,,Don Rosser / Bill Cobb,Out and back,Wood,1978-01-01,50.0,,0
Colossus (Six Flags Magic Mountain),"4,990 ft (1,520 m)",57 mph (92 km/h),Operating,Rocky Mountain Construction,I-Box – Custom,121 ft (37 m),lift,,Alan Schilke,Möbius Loop with one station,Steel,2015-05-23,57.0,,2
Loch Ness Monster (roller coaster),"3,240 ft (990 m)",60 mph (97 km/h),Operating,Arrow Development,Custom Looping Coaster,130 ft (40 m),lift,3.5,Ron Toomer,Terrain,Steel,1978-06-06,60.0,,2
Montezooma's Revenge,800 ft (240 m),55 mph (89 km/h),Operating,Anton Schwarzkopf,Shuttle Loop - Flywheel,148 ft (45 m),launch,,Werner Stengel,Shuttle Loop,Steel,1978-05-21,55.0,,2
Shock Wave (Six Flags Over Texas),"3,600 ft (1,100 m)",60 mph (97 km/h),Operating,Anton Schwarzkopf,custom looping,116 ft (35 m),lift,5.9,Werner Stengel,,Steel,1978-04-22,60.0,,2
The Riddler Mindbender,"3,253 ft (992 m)",50 mph (80 km/h),Operating,Anton Schwarzkopf,Custom design,80 ft (24 m),lift,,Werner Stengel,Terrain,Steel,1978-03-31,50.0,,2
Tornado (Adventureland),"2,850 ft (870 m)",58 mph (93 km/h),Operating,Frontier Construction Company,,93 ft (28 m),lift,,William Cobb,Out and Back,Wood,1978-07-04,58.0,,0
The Beast (roller coaster),"7,359 ft (2,243 m)",64.78 mph (104.25 km/h),Operating,Kings Island,,110 ft (34 m),lift,3.6,Al CollinsJeff Gramke,Terrain,Wood,1979-04-14,64.8,,0
Wilderness Run,443 ft (135 m),6 mph (9.7 km/h),Operating,Intamin,Children's coaster,19 ft (5.8 m),lift,,,,Steel,1979-01-01,6.0,,0
Carolina Cyclone,"2,100 ft (640 m)",41 mph (66 km/h),Operating,Arrow Dynamics,Custom Looping,95 ft (29 m),lift,3.5,Ron Toomer,,Steel,1980-03-22,41.0,,4
Corkscrew (Valleyfair),"1,950 ft (590 m)",50 mph (80 km/h),Operating,Arrow Dynamics,,85 ft (26 m),lift,3.5,,Out and Back,Steel,1980-01-01,50.0,,3
Scorpion (roller coaster),"1,817.6 ft (554.0 m)",41 mph (66 km/h),Operating,Anton Schwarzkopf,Silver Arrow,60.7 ft (18.5 m),lift,3.5,Werner Stengel,,Steel,1980-05-16,41.0,,1
The Beastie (Kings Island),"1,350 ft (410 m)",35 mph (56 km/h),Operating,Philadelphia Toboggan Coasters,,38.6 ft (11.8 m),lift,,John C. Allen,Figure Eight,Wood,1972-01-01,35.0,,0
Dragon Fyre,"658.5 m (2,160 ft)",80 km/h (50 mph),Operating,Arrow Dynamics,Custom Looping Coaster,23.8 m (78 ft),lift,,HUSS Park Attractions,,Steel,1981-01-01,49.7,78.1,4
Ghoster Coaster (Canada's Wonderland),"413.3 m (1,356 ft)",56 km/h (35 mph),Operating,Taft Broadcasting,,12.5 m (41 ft),lift,,Curtis D. Summers,,Wood,1981-05-23,34.8,41.0,0
Mighty Canadian Minebuster,"1,166.8 m (3,828 ft)",89.9 km/h (55.9 mph),Operating,Canada's Wonderland,,27.4 m (90 ft),lift,,Curtis D. Summers,Out and Back,Wood,1981-01-01,55.9,89.9,0
Python (Efteling),"750 m (2,460 ft)",75 km/h (47 mph),Operating,Vekoma,Double Loop Corkscrew,29 m (95 ft),lift,3.5,Vekoma,,Steel,1981-04-12,46.6,95.1,4
Wilde Beast,"960 m (3,150 ft)",90 km/h (56 mph),Operating,Taft Broadcasting Company,,25 m (82 ft),lift,,Curtis D. Summers,Out and Back/Figure 8,Wood,1981-01-01,55.9,82.0,0
Grizzly (Kings Dominion),"3,150 ft (960 m)",51 mph (82 km/h),Operating,Taft Broadcasting Company,,87 ft (27 m),lift,,Curtis D. Summers,Terrain,Wood,1982-03-27,51.0,,0
Looping Star (Nagashima Spa Land),"1,942.3 ft (592.0 m)",40 mph (64 km/h),Operating,Anton Schwarzkopf,Custom Looping,80 ft (24 m),lift,,Werner Stengel,,Steel,1982-01-01,40.0,,1
Vortex (Calaway Park),,,Operating,Arrow Dynamics,Corkscrew,,lift,,,,Steel,1982-01-01,,,2
Colossus the Fire Dragon,"2,850 ft (870 m)",55 mph (89 km/h),Operating,Anton Schwarzkopf,Double Looping (with additional trackway curve),85 ft (26 m),lift,4.9 (Back Seat)4.0 (Front Seat),Ingenieur Büro Stengel GmbH,Figure 8,Steel,1983-01-01,55.0,,2
Cyclone (Six Flags New England),"3,320 ft (1,010 m)",55 mph (89 km/h),Operating,Rocky Mountain Construction,I-Box,109 ft (33 m),lift,,Alan Schilke,Twister,Steel,2015-05-24,55.0,,3
Dragon Mountain,"5,500 ft (1,700 m)",50 mph (80 km/h),Operating,Arrow Huss,Custom Looping Coaster,186 ft (57 m),lift,,Ron Toomer,Terrain,Steel,1983-07-16,50.0,,4
Sea Serpent (Morey's Piers),935 ft (285 m),47 mph (76 km/h),Operating,Vekoma,Boomerang,125 ft (38 m),lift,5.2,Vekoma,Boomerang,Steel,1984-01-01,47.0,,3
Steamin' Demon,"1,565 ft (477 m)",45 mph (72 km/h),Operating,Arrow Dynamics,,95 ft (29 m),lift,,,,Steel,1984-05-26,45.0,,3
Ultra Twister (Nagashima Spa Land),,,Operating,TOGO,Ultra Twister,,lift,,,,Steel,1989-01-01,,,3
Shaman (roller coaster),"2,296.7 ft (700.0 m)",43.5 mph (70.0 km/h),Operating,Vekoma,Double Loop with Corkscrew,98.5 ft (30.0 m),lift,,Vekoma,,Steel,1985-01-01,43.5,,4
Phoenix (roller coaster),"3,200 ft (980 m)",45 mph (72 km/h),Operating,Philadelphia Toboggan Coasters,,78 ft (24 m),lift,,"Herbert Paul Schmeck, 1947",Double Out and Back,Wood,1985-06-15,45.0,,0
Wild Mouse (Idlewild),"1,640 ft (500 m)",30 mph (48 km/h),Operating,Vekoma,,56 ft (17 m),lift,,,Wild mouse,Steel,1985-01-01,30.0,,0
Iron Dragon (roller coaster),"2,800 ft (850 m)",40 mph (64 km/h),Operating,Arrow Dynamics,Suspended Coaster,76 ft (23 m),lift,,Ron Toomer,Terrain roller coaster,Steel,1987-06-11,40.0,,0
Lisebergbanan,"1,548 m (5,079 ft)",80 km/h (50 mph),Operating,Zierer,Custom steel,45 m (148 ft),lift,3,"Werner Stengel, Anton Schwarzkopf",,Steel,1987-04-18,49.7,147.6,0
Avalanche (Blackpool Pleasure Beach),"1,161 ft (354 m)",45 mph (72 km/h),Operating,Mack Rides,Bobsleigh,59 ft (18 m),lift,,,,Steel,1988-06-22,45.0,,0
Bandit (Yomiuriland),"5,118 ft (1,560 m)",68.3 mph (109.9 km/h),Operating,TOGO,Sitdown,167.3 ft (51.0 m),lift,,,,Steel,1988-03-01,68.3,,0
Ninja (Six Flags Magic Mountain),"2,700 ft (820 m)",55 mph (89 km/h),Operating,Arrow Dynamics,Suspended Coaster,60 ft (18 m),lift,2.9,Arrow Dynamics,Terrain,Steel,1988-05-21,55.0,,0
Wolverine Wildcat,"3,000 ft (910 m)",55 mph (89 km/h),Operating,Dinn Corporation,Sit Down,85 ft (26 m),lift,,Curtis D. Summers,Double Out and Back,Wood,1988-05-18,55.0,,0
Eurosat - CanCan Coaster,"900 m (3,000 ft)",60 km/h (37 mph),Operating,Mack Rides,,25.5 m (84 ft),lift,4,,,Steel,1989-01-01,37.3,83.7,0
Excalibur (Valleyfair),"2,415 ft (736 m)",54.5 mph (87.7 km/h),Operating,Arrow Dynamics,Special Coaster Systems,100 ft (30 m),lift,3.6,,,Steel,1989-01-01,54.5,,0
Goudurix,"950 m (3,120 ft)",90 km/h (56 mph),Operating,Vekoma,,36 m (118 ft),lift,3.9,Vekoma,,Steel,1989-01-01,55.9,118.1,7
Magnum XL-200,"5,106 ft (1,556 m)",72 mph (116 km/h),Operating,Arrow Dynamics,Hyper Coaster,205 ft (62 m),lift,,Ron Toomer,Out and Back,Steel,1989-05-06,72.0,,0
Olympia Looping,"4,101 ft (1,250 m)",52 mph (84 km/h),Operating,BHS,,110 ft (34 m),lift,5.2,"Anton Schwarzkopf, Werner Stengel",,Steel,1989-09-17,52.0,,5
Timber Wolf (roller coaster),"4,260 ft (1,300 m)",53 mph (85 km/h),Operating,Dinn Corporation,Custom,100 ft (30 m),lift,,Curtis D. Summers,,Wood,1989-04-01,53.0,,0
Ultra Twister (Nagashima Spa Land),,,Operating,TOGO,Ultra Twister,,lift,,,,Steel,1989-01-01,,,3
Texas Giant,"4,200 ft (1,300 m)",65 mph (105 km/h),Operating,Rocky Mountain Construction,I-Box – Custom,153 ft (47 m),lift,4.2,Alan Schilke,,Steel,2011-04-22,65.0,,0
Thunder Run (Kentucky Kingdom),"2,850 ft (870 m)",53 mph (85 km/h),Operating,Dinn Corporation,Custom,90 ft (27 m),lift,,Curtis D. SummersJohn Fetterman,,Wood,1990-08-01,53.0,,0
Vampire (roller coaster),"2,200 ft (670 m)",45 mph (72 km/h),Operating,Arrow Dynamics,Suspended Swinging Coaster,70 ft (21 m),lift,4,John Wardley,,Steel,1990-04-11,45.0,,0
Viper (Six Flags Magic Mountain),"3,830 ft (1,170 m)",70 mph (110 km/h),Operating,Arrow Dynamics,Custom Looping Coaster,188 ft (57 m),lift,4.1,Ron Toomer[1],,Steel,1990-04-07,70.0,,7
Adventure Express,"2,963 ft (903 m)",35 mph (56 km/h),Operating,Arrow Dynamics,Mine Train,63 ft (19 m),lift,3.8,,,Steel,1991-04-13,35.0,,0
Anaconda (roller coaster),"2,700 ft (820 m)",50 mph (80 km/h),Operating,Arrow Dynamics,Custom Looping Coaster,128 ft (39 m),lift,5.1,Ron Toomer,,Steel,1991-03-23,50.0,,4
Sidewinder (Hersheypark),935 ft (285 m),47 mph (76 km/h),Operating,Vekoma,Boomerang,116.5 ft (35.5 m),lift,5.2,,,Steel,1991-05-11,47.0,,6
Steel Phantom,"3,200 ft (980 m)",85 mph (137 km/h),Operating,D. H. Morgan Manufacturing,Hyper Coaster,160 ft (49 m),lift,3.5,,Terrain Mega Coaster,Steel,1991-05-10,85.0,,0
Vortex (Canada's Wonderland),"719.5 m (2,361 ft)",55 mph (89 km/h),Operating,Arrow Dynamics,Suspended Coaster,27.8 m (91 ft),lift,,,Terrain,Steel,1991-05-12,55.0,91.2,0
Vortex (Great America),"1,920 ft (590 m)",45 mph (72 km/h),Operating,Bolliger & Mabillard,Floorless Coaster,91 ft (28 m),lift,,Werner Stengel,,Steel,1991-03-09,45.0,,2
Desert Storm (roller coaster),,,Operating,Hopkins Rides,,,lift,,,,Steel,1992-01-01,,,2
The Rattler (roller coaster),"3,266 ft (995 m)",70 mph (110 km/h),Operating,Rocky Mountain Construction,I-Box,179 ft (55 m),lift,,Alan Schilke,Terrain,Steel,2013-05-25,70.0,,1
Vortex (Carowinds),"2,040 ft (620 m)",50 mph (80 km/h),Operating,Bolliger & Mabillard,Stand-Up,90 ft (27 m),lift,,Werner Stengel,,Steel,1992-03-14,50.0,,2
Indiana Jones et le Temple du Péril,"600 m (2,000 ft)",36 mph (58 km/h),Operating,Intamin,Looping Coaster,59 ft (18 m),lift,,Walt Disney Imagineering,Pinfari TL-59,Steel,1993-07-30,36.0,,1
Kumba (roller coaster),"3,978 ft (1,212 m)",60 mph (97 km/h),Operating,Bolliger & Mabillard,Sitting Coaster,143 ft (44 m),lift,3.8,Werner Stengel,,Steel,1993-04-20,60.0,,7
Outlaw (roller coaster),"2,800 ft (850 m)",48 mph (77 km/h),Operating,Custom Coasters International,,67 ft (20 m),lift,3.2[2],,,Wood,1993-04-24,48.0,,0
Thunderation,"3,022 ft (921 m)",48 mph (77 km/h),Operating,Arrow Dynamics,Mine train,81 ft (25 m),lift,,,Terrain,Steel,1993-04-10,48.0,,0
Top Gun (Kings Island),"2,352 ft (717 m)",51 mph (82 km/h),Operating,Arrow Dynamics,Suspended Coaster,78 ft (24 m),lift,2.9,,Terrain,Steel,1993-04-09,51.0,,0
Wild Mouse (Idlewild),"1,640 ft (500 m)",30 mph (48 km/h),Operating,Vekoma,,56 ft (17 m),lift,,,Wild mouse,Steel,1985-01-01,30.0,,0
The Comet (Great Escape),"4,197 ft (1,279 m)",55 mph (89 km/h),Operating,Philadelphia Toboggan Coasters,Wooden track coaster,95 ft (29 m),lift,,Herbert Paul Schmeck,Double Out and Back,Wood,1948-01-01,55.0,,0
Condor (roller coaster),"662 m (2,172 ft)",80 km/h (50 mph),Operating,Vekoma,Suspended Looping Coaster,31 m (102 ft),lift,4.5 G (Positive),,,Steel,1994-05-01,49.7,101.7,5
Hakugei (roller coaster),"1,530 m (5,020 ft)",107 km/h (66 mph),Operating,Rocky Mountain Construction,I-Box Track,55 m (180 ft),lift,4,,,Steel,2019-03-28,66.5,180.4,3
Nemesis (roller coaster),"716 m (2,349 ft)",81 km/h (50 mph),Operating,Bolliger & Mabillard,Inverted Coaster – Custom,13 m (42.7 ft),lift,3.5[2],Werner Stengel,Terrain,Steel,1994-03-19,50.3,42.7,4
Raptor (Cedar Point),"3,790 ft (1,160 m)",57 mph (92 km/h),Operating,Bolliger & Mabillard,Inverted Coaster - Raptor,137 ft (42 m),lift,,Werner Stengel,,Steel,1994-05-07,57.0,,6
Shockwave (Drayton Manor),"1,640 ft (500 m)",53 mph (85 km/h),Operating,Intamin,Stand-up roller coaster,119.7 ft (36.5 m),lift,4,Werner Stengel Mark Golding,Out and back,Steel,1994-03-26,53.0,,4
The Big One (roller coaster),"5,497 ft (1,675 m)",74 mph (119 km/h),Operating,Arrow Dynamics,Hyper Coaster,213 ft (65 m),lift,3.5,Ron Toomer,,Steel,1994-05-28,74.0,,0
Zach's Zoomer,,,Operating,Custom Coasters International,,,lift,,,,Wood,1994-07-22,,,0
Cannonball Express (roller coaster),"1,738 ft (530 m)",34 mph (55 km/h),Operating,Anton Schwarzkopf,Jumbo V,53 ft (16 m),lift,,Werner Stengel,,Steel,1995-01-01,34.0,,0
Dragon Khan,"1,285 m (4,216 ft)",104.6 km/h (65.0 mph),Operating,Bolliger & Mabillard,Sitting Coaster,45.1 m (148 ft),lift,4,John Wardley (layout) Ing.-Büro Stengel GmbH (mechanical role),,Steel,1995-05-02,65.0,148.0,8
Flight Deck (Canada's Wonderland),"689.01 m (2,260.5 ft)",79.99 km/h (49.70 mph),Operating,Vekoma,SLC (689m Standard),33.31 m (109.3 ft),lift,,,,Steel,1995-01-01,49.7,109.3,5
The Great Nor'easter,"2,170 ft (660 m)",55 mph (89 km/h),Operating,Vekoma,Suspended Looping Coaster-Custom,115 ft (35 m),lift,,,,Steel,1995-05-26,55.0,,5
Jaguar!,"2,602 ft (793 m)",35 mph (56 km/h),Operating,Zierer,Tivoli,65 ft (20 m),lift,,Ingenieur Büro Stengel GmbH,,Steel,1995-06-17,35.0,,0
The Raven (roller coaster),"2,800 ft (850 m)",50 mph (80 km/h),Operating,Custom Coasters International,,110 ft (34 m),lift,,"Dennis McNulty, Larry Bill",Terrain,Wood,1995-05-06,50.0,,0
Space Mountain: De la Terre à la Lune,"3,281 ft (1,000 m)",44 mph (71 km/h),Operating,Vekoma,,105 ft (32 m),launch,,Walt Disney ImagineeringWerner Stengel,,Steel,2017-05-07,44.0,,3
Space Shuttle (roller coaster),935 ft (285 m),47 mph (76 km/h),Operating,Vekoma,Boomerang,116.6 ft (35.5 m),lift,5.2,,,Steel,1995-07-28,47.0,,3
T2 (roller coaster),"2,171.9 ft (662.0 m)",49.7 mph (80.0 km/h),Operating,Vekoma,SLC (662m Prototype),101.7 ft (31.0 m),lift,,,,Steel,1995-04-08,49.7,,5
Twister II,"4,640 ft (1,410 m)",55 mph (89 km/h),Operating,Hensel Phelps Construction,custom,100 ft (30 m),lift,3.1,John Pierce,Twister,Wood,1995-05-27,55.0,,0
Viper (Six Flags Great America),"3,458 ft (1,054 m)",50 mph (80 km/h),Operating,Six Flags,,100 ft (30 m),lift,3.6,Six Flags,Coney Island Cyclone (mirror image),Wood,1995-04-29,50.0,,0
The Barnstormer,207 m (679 ft),40.2 km/h (25.0 mph),Operating,Vekoma,Junior Coaster (Custom),9.1 m (30 ft),lift,,Walt Disney Imagineering,,Steel,1996-10-01,25.0,29.9,0
The Great White (Morey's Piers),"3,300 ft (1,000 m)",50 mph (80 km/h),Operating,Custom Coasters International,,110 ft (34 m),lift,,Dennis McNulty,,Wood,1996-06-10,50.0,,0
Montu (roller coaster),"3,983 ft (1,214 m)",60 mph (97 km/h),Operating,Bolliger & Mabillard,Inverted Coaster – Custom,150 ft (46 m),lift,3.8,Werner Stengel,,Steel,1996-05-16,60.0,,7
Pegasus (Mt. Olympus Water and Theme Park),,40 mph (64 km/h),Operating,Custom Coasters International,,60 ft (18 m),lift,,,,Wood,1996-01-01,40.0,,0
Rougarou (roller coaster),"3,900 ft (1,200 m)",60 mph (97 km/h),Operating,Bolliger & Mabillard,Floorless Coaster,145 ft (44 m),lift,,Werner Stengel,,Steel,2015-05-09,60.0,,4
Santa Monica West Coaster,"1,300 ft (400 m)",35 mph (56 km/h),Operating,D. H. Morgan Manufacturing,,55 ft (17 m),lift,,,,Steel,1996-05-25,35.0,,0
Skull Mountain,"1,377 ft (420 m)",33 mph (53 km/h),Operating,Intamin,Indoor Roller Coaster,40.5 ft (12.3 m),lift,2.3,,steel twister,Steel,1996-06-03,33.0,,0
The Barnstormer at Goofy's Wiseacre Farm,207 m (679 ft),40.2 km/h (25.0 mph),Operating,Vekoma,Junior Coaster (Custom),9.1 m (30 ft),lift,,Walt Disney Imagineering,,Steel,1996-10-01,25.0,29.9,0
The Walking Dead: The Ride,"1,312.3 ft (400.0 m)",27.7 mph (44.6 km/h),Operating,Vekoma,Enigma,41.7 ft (12.7 m),lift,2.4,Vekoma,Modified Enigma,Steel,1996-03-23,27.7,,0
The Underground (roller coaster),911 ft (278 m),,Operating,Custom Coasters International,Indoor Freeform,13 ft (4.0 m),lift,,"Custom Coasters, Inc., Larry Bill, Dennis McNulty",,Wood,1996-04-27,,,0
Wild Thing (Valleyfair),"5,460 ft (1,660 m)",75 mph (121 km/h),Operating,D. H. Morgan Manufacturing,Hypercoaster,207 ft (63 m),lift,4.1,Steve Okamoto,Out and Back,Steel,1996-05-11,75.0,,0
Wildcat (Hersheypark),"3,183 ft (970 m)",50 mph (80 km/h),Operating,Great Coasters International,,106 ft (32 m),lift,3.5,Clair HainMike Boodley,,Wood,1996-05-26,50.0,,0
Alpengeist,"3,828 ft (1,167 m)",67 mph (108 km/h),Operating,Bolliger & Mabillard,Inverted Coaster,195 ft (59 m),lift,3.7,Werner Stengel,Terrain,Steel,1997-03-22,67.0,,6
Euro-Mir,"3,215 ft (980 m)",49.7 mph (80.0 km/h),Operating,Mack Rides,,92 ft (28 m),lift,4,Franz Mack,,Steel,1997-01-01,49.7,,0
The Great White (SeaWorld San Antonio),"2,562 ft (781 m)",50 mph (80 km/h),Operating,Bolliger & Mabillard,Inverted Coaster – Batman,108 ft (33 m),lift,4.6,Werner Stengel,,Steel,1997-02-01,50.0,,5
Big Apple Coaster,"4,777 ft (1,456 m)",67 mph (108 km/h),Operating,TOGO,Sitdown Looping,203 ft (62 m),lift,,TOGO,Custom,Steel,1997-01-03,67.0,,2
